time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.8568892890146195e-07,5.0025083700404645e-08,10.001790762075307,6.282765956077158,0.00020023290284942874,0.0,-1.6495846938192508e-05,-1.260152482224094e-05,0.05969024749800582,-0.027077748352318687,0.009292446932288766,0.0,423.7140321382005,424.5119509504547,424.8848420022082,422.55749175553296
0.12000000000000001,-6.842497804924906e-06,-1.2989850094176686e-05,10.004884568635443,6.281252337134951,0.0012163817394457155,0.0,-0.0002748585871431942,-0.0005549128494747833,0.04343744819772908,-0.021761470968550564,0.02898889716235328,0.0,397.9699040097566,399.7683255285543,397.52340993722413,398.0099793106424
0.18,-5.635152302468181e-05,-9.309314223295892e-05,10.011354375639028,6.279941254854609,0.002707892985180038,0.0,-0.001548848494570776,-0.002254220361282885,0.17221069527564645,-0.022031762570144456,0.01495849758839421,0.0,446.13875650663846,444.9920187884897,446.3315265301764,446.30945930905835
0.23999999999999996,-0.00021400430904940028,-0.00030688211846156594,10.026539565430385,6.2786195741555115,0.0036329587953671805,0.0,-0.003807457106761279,-0.005018881041457894,0.33392736547402396,-0.022020511781775116,0.016320790528316417,0.0,455.56080449053195,455.66959631365177,456.60883210645255,456.6097259486854
0.3,-0.0005209395598484525,-0.0007055604011976046,10.04931371539459,6.27777626902839,0.005165136333038944,0.0,-0.00655458096531532,-0.008375752319636429,0.42517976798802165,-0.0015998673711504867,0.03949140685861814,0.0,433.3568404717119,435.29995493689773,433.31985087819277,435.0328937473215
0.36000000000000004,-0.001029935541055769,-0.0013201944703383826,10.077824813248798,6.277708726013234,0.007460164949842252,0.0,-0.010649753247766288,-0.01212015146459494,0.5251474665344588,-0.0001938148608614855,0.03564603295621993,0.0,437.06644643257846,436.74662868083686,437.2425648710755,437.3596940725945
0.4200000000000001,-0.0018048253768378302,-0.002142139032501981,10.108979724451798,6.277796891465682,0.00927294919519106,0.0,-0.015351494836066057,-0.015274602288030521,0.5133536564801495,0.004604287971202955,0.0161972929663935,0.0,401.1340735276713,399.3646942870638,399.85857135930854,400.2953418244596
0.48000000000000015,-0.0029353286855222926,-0.0031763938286899626,10.144185349574597,6.278050760081705,0.010855451868246213,0.0,-0.022476169622604354,-0.019171289385046576,0.6600920588059568,0.0034741698417603208,0.04142484756240027,0.0,450.4852922637482,452.520445161561,452.13617529169863,452.0450516068288
0.5400000000000001,-0.004528204845453811,-0.0044367751618590206,10.18771791169426,6.278037188283204,0.013380263045176477,0.0,-0.030885812118297305,-0.022829262388821856,0.7909082940278171,-0.008904459046514018,0.043359314958868946,0.0,447.044789159411,447.2033122495418,447.49426653873445,446.485643540541
0.6000000000000002,-0.006690509472405454,-0.005923534156227703,10.239817026035672,6.277543054529286,0.015923555209422346,0.0,-0.04147276967383233,-0.02678534137620468,0.9456087607428593,-0.00693022292636704,0.040372186274928334,0.0,454.4224654697959,454.1839206188328,454.83161427903826,454.98979854858385
0.6600000000000003,-0.009527396964883783,-0.007652409976182035,10.300171816493402,6.277053463762879,0.01847174345808078,0.0,-0.0533498640932999,-0.030890673296420187,1.0661076389578792,-0.010740101157784027,0.046364652160962194,0.0,443.8030779732295,444.29558114356877,444.72354761061223,444.41153071654804
0.7200000000000003,-0.013135925368858312,-0.009639993339507597,10.367927227495729,6.276339780681171,0.0214677724988519,0.0,-0.06723890885545146,-0.0354331020100811,1.192275784903056,-0.01431012789209256,0.05625472651777594,0.0,446.52931498741265,447.3368371414171,445.85865085454157,445.5670390394788
0.7800000000000004,-0.01761426557580434,-0.011906648866588139,10.44189495346907,6.275573686676925,0.024872620570969062,0.0,-0.08237356705767018,-0.04020185393758427,1.2732193073395655,-0.0098502682073084,0.057714781732031976,0.0,432.4871528504921,432.6123978067045,431.88155200356607,432.25762493770867
0.8400000000000004,-0.023111686327141678,-0.014485900541674254,10.522357438350317,6.275492112118384,0.028688410540715026,0.0,-0.10126246444546069,-0.045803863953710486,1.4086947299887511,0.01173862397104367,0.07332452943178758,0.0,448.67158404392063,449.93983286616634,449.24285701280803,450.9898437118109
0.9000000000000005,-0.029851569689705787,-0.01740350058448006,10.61171371900178,6.276770447585044,0.032620540926656894,0.0,-0.12386624820822811,-0.05133254537215132,1.5696260645065565,0.035666881752361775,0.041558078956050015,0.0,459.1518178698947,456.6277236320314,456.91938479487453,458.82285851121304
0.9600000000000005,-0.03800909938186976,-0.02061497232201363,10.710146614283941,6.279283282383139,0.03522733517865362,0.0,-0.14832124008255268,-0.055461342745387776,1.7112597529238536,0.05206434903449727,0.04697772502487984,0.0,452.5080895734281,452.9451351730527,451.52284219990594,452.8445533658232
1.0200000000000005,-0.04762666321458232,-0.02400954286719503,10.815231787953232,6.28221458068329,0.03754826028582414,0.0,-0.17252520681090486,-0.05738988208261037,1.7914466089736802,0.041510410184018756,0.011760755431384343,0.0,435.35452468719166,432.39871453659293,433.7943395000956,432.9087811145576
1.0800000000000005,-0.05887318786571438,-0.027464856945159755,10.928763287425273,0.0017690392817168998,0.03891998358106985,0.0,-0.20247602145401658,-0.05748010209768018,1.9926011132364834,0.05288664771324054,0.03891736350657988,0.0,469.901366573046,472.001719010758,470.8494308578501,471.72972842044095
1.1400000000000006,-0.07185979932601502,-0.03086260228243852,11.051921679208917,0.005723929834378083,0.040744833486237475,0.0,-0.23063356221593326,-0.055396394308515375,2.1124520798133863,0.08393048492814159,0.0021396401111885635,0.0,448.9270729282853,445.9333022041028,445.66422432049217,448.19724969138883
